root_id,group
720575941353213744,ORN
720575941353462832,ORN
720575941354218288,ORN
720575941354378032,ORN
720575941354384176,ORN
720575941391928580,ORN
720575941391953156,ORN
720575941391958020,ORN
720575941391982084,ORN
720575941392624388,ORN
720575941392768004,ORN
720575941392820740,ORN
720575941392873476,ORN
720575941392897796,ORN
720575941392923798,ORN
720575941393413014,ORN
720575941393541014,ORN
720575941393548694,ORN
720575941393630614,ORN
720575941393669782,ORN
720575941393716630,ORN
720575941393985540,ORN
720575941394065814,ORN
720575941394780822,ORN
720575941394966934,ORN
720575941400884771,ORN
720575941400896291,ORN
720575941400948515,ORN
720575941401286179,ORN
720575941401912611,ORN
720575941402109731,ORN
720575941403237411,ORN
720575941404032368,ORN
720575941404054896,ORN
720575941404249200,ORN
720575941404901488,ORN
720575941404916848,ORN
720575941405191280,ORN
720575941405216624,ORN
720575941406149232,ORN
720575941407599790,ORN
720575941407739695,ORN
720575941407863726,ORN
720575941407901870,ORN
720575941407977263,ORN
720575941408269486,ORN
720575941408361646,ORN
720575941408399663,ORN
720575941408599343,ORN
720575941408635310,ORN
720575941408668078,ORN
720575941408677679,ORN
720575941408700846,ORN
720575941408873519,ORN
720575941409039022,ORN
720575941409080879,ORN
720575941409103407,ORN
720575941409103663,ORN
720575941409601583,ORN
720575941409857071,ORN
720575941409906350,ORN
720575941409988911,ORN
720575941410063919,ORN
720575941410065199,ORN
720575941410220715,ORN
720575941410223787,ORN
720575941410240939,ORN
720575941410449067,ORN
720575941410646036,ORN
720575941410701227,ORN
720575941411409323,ORN
720575941411459243,ORN
720575941411763055,ORN
720575941411763311,ORN
720575941411771247,ORN
720575941411789167,ORN
720575941411860651,ORN
720575941412137839,ORN
720575941412147627,ORN
720575941412564651,ORN
720575941412610475,ORN
720575941412681583,ORN
720575941412796271,ORN
720575941412851823,ORN
720575941413083503,ORN
720575941413376913,ORN
720575941413568657,ORN
720575941413618324,ORN
720575941413627796,ORN
720575941413632404,ORN
720575941413696145,ORN
720575941413783151,ORN
720575941413821844,ORN
720575941414040212,ORN
720575941414046865,ORN
720575941414410900,ORN
720575941414421652,ORN
720575941414440593,ORN
720575941414549140,ORN
720575941414599316,ORN
720575941414677908,ORN
720575941414773393,ORN
720575941415630737,ORN
720575941415664412,ORN
720575941415722012,ORN
720575941415729436,ORN
720575941415812753,ORN
720575941415813524,ORN
720575941415817876,ORN
720575941415956113,ORN
720575941416130076,ORN
720575941416238612,ORN
720575941416294940,ORN
720575941416464404,ORN
720575941416848156,ORN
720575941417570844,ORN
720575941417958428,ORN
720575941421549690,ORN
720575941426779988,ORN
720575941426792020,ORN
720575941426798164,ORN
720575941426848852,ORN
720575941427222100,ORN
720575941427239252,ORN
720575941427441748,ORN
720575941427702356,ORN
720575941427819348,ORN
720575941427922772,ORN
720575941427997012,ORN
720575941428253524,ORN
720575941429037396,ORN
720575941429058644,ORN
720575941429140820,ORN
720575941429141076,ORN
720575941429890697,ORN
720575941430248184,ORN
720575941430260728,ORN
720575941430297592,ORN
720575941430466223,ORN
720575941430586543,ORN
720575941430629513,ORN
720575941431026095,ORN
720575941431034505,ORN
720575941431112289,ORN
720575941431138223,ORN
720575941431173880,ORN
720575941431226799,ORN
720575941431282680,ORN
720575941431295663,ORN
